CODE;NAME;RIVER;AREA_KM2;LON;LAT;GAUGE0_MASL
2150;Borl I;Drava;14642.08;15.996148;46.370967;201.41
2160;Zavrč;Drava;14691.52;16.036762;46.388309;197.86
2220;Črna;Meža;95.17;14.848425;46.470395;573.45
2250;Otiški Vrh I;Meža;552.6;15.025925;46.57774;334
2372;Dovže II;Mislinja;72.76;15.147497;46.456627;507.59
2420;Stari trg I;Suhodolnica;59.45;15.0725;46.504378;404.86
2530;Ruta;Radoljna;74.48;15.423434;46.558859;296
2600;Zreče;Dravinja;42.75;15.383343;46.379852;405.07
2620;Loče;Dravinja;175.67;15.493688;46.301548;267.42
2640;Makole;Dravinja;303.21;15.670445;46.319291;240.38
2652;Videm;Dravinja;767.34;15.902975;46.36833;209.24
2667;Perovec;Oplotnica;78.57;15.48773;46.33931;283.13
2693;Spodnja Ložnica;Ložnica;99.86;15.650746;46.337056;241.87
2719;Podlehnik I;Rogatnica;57.26;15.878394;46.332435;223.24
2754;Tržec;Polskava;189.16;15.878011;46.363673;214.07
2830;Ranca;Pesnica;84.27;15.68138;46.599535;250.27
2880;Gočova;Pesnica;281.77;15.868674;46.55677;225.46
2900;Zamušani I;Pesnica;479.76;16.033958;46.414125;201.85
3014;Kranjska Gora I;Sava Dolinka;39.72;13.785418;46.489272;794.1
3080;Blejski most;Sava Dolinka;508.79;14.134629;46.36755;428.05
3180;Podhom;Radovna;166.8;14.085734;46.393505;566.2
3200;Sveti Janez;Sava Bohinjka;94.35;13.886547;46.278363;525.04
3250;Bodešče;Sava Bohinjka;363.9;14.14191;46.341903;414
3260;Ukanc;Savica;66.76;13.829554;46.280967;527.43
3300;Stara Fužina II;Mostnica;74.26;13.889262;46.28283;527.2
3320;Bohinjska Bistrica;Bistrica;13.52;13.950052;46.27359;504.45
3420;Radovljica;Sava;907.96;14.165351;46.339933;408.18
3465;Okroglo;Sava;1198.73;14.319599;46.255877;355.95
3530;Medno;Sava;2201.44;14.440475;46.122519;300.29
3660;Litija;Sava;4849.67;14.828774;46.056836;230.66
3725;Hrastnik;Sava;5205.3;15.09063;46.12181;193.94
3850;Čatež I;Sava;10232.42;15.609923;45.893131;137.32
3900;Jesenice na Dolenjskem;Sava;10927.66;15.692534;45.86031;129.48
4025;Ovsiše II;Lipnica;40.25;14.258198;46.288546;375.17
4050;Preska;Tržiška Bistrica;121.5;14.299644;46.357801;488.76
4120;Kokra I;Kokra;113.1;14.49892;46.30595;523
4155;Kranj II;Kokra;221.35;14.359608;46.243186;357
4200;Suha I;Sora;568.86;14.326074;46.162035;329.47
4209;Medvode II;Sora;647.38;14.413329;46.139238;306.69
4222;Žiri III;Poljanska Sora;63.28;14.106828;46.04357;474.77
4230;Zminec;Poljanska Sora;306.52;14.290209;46.153043;343.33
4298;Vešter;Selška Sora;213.76;14.285167;46.172173;358.26
4400;Kamnik I;Kamniška Bistrica;195.5;14.613138;46.224038;370.65
4430;Vir;Kamniška Bistrica;208.58;14.604283;46.147682;301.25
4445;Bišče;Kamniška Bistrica;382.55;14.615852;46.103881;274.4
4480;Nevlje I;Nevljica;82.21;14.624765;46.232859;379.9
4515;Vir;Rača;161.41;14.616531;46.143928;299.17
4520;Podrečje;Rača;163.84;14.609309;46.142052;297.49
4570;Topole;Pšata;93.92;14.56263;46.173735;320.27
